YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EQ_PRIMARY,INTENSITY,COUNTRY,LOCATION_NAME,STATE,LATITUDE,LONGITUDE,DEATHS,INJURIES,Depth
1942,6.0,5.0,0.0,0.0,0.0,0.0,0.0,ARGENTINA,"ARGENTINA:  CANADA,SECA,LAS MALVINAS",no info,-34.6,-67.9,0.0,0.0,0.0
1942,7.0,8.0,21.0,22.0,27.0,6.0,8.0,CHINA,CHINA:  NEI MONGOL:  TONGLIAO,no info,43.0,122.0,0.0,0.0,0.0
1942,8.0,6.0,23.0,36.0,59.0,7.9,0.0,GUATEMALA,GUATEMALA:  NEAR S COAST,no info,14.0,-91.0,0.0,0.0,50.0
1942,8.0,24.0,22.0,50.0,27.0,8.2,9.0,PERU,"PERU:  ICA, NAZCA",no info,-15.0,-76.0,30.0,25.0,60.0
1942,8.0,27.0,6.0,14.0,11.0,6.0,10.0,ALBANIA,"ALBANIA:  PESHKOPIA, MAGELLARE",no info,41.7,20.4,43.0,110.0,33.0
1942,11.0,10.0,11.0,41.0,27.0,7.9,0.0,SOUTH AFRICA,SOUTH AFRICA:  PRINCE EDWARD ISLAND,no info,-49.5,32.0,0.0,0.0,25.0
1942,11.0,12.0,0.0,0.0,0.0,0.0,0.0,MEXICO,MEXICO:  JUCHITAN,no info,16.3,-95.0,0.0,0.0,0.0
1942,11.0,15.0,17.0,1.0,0.0,6.1,8.0,TURKEY,"TURKEY:  BALIKESIR,BIGADIC",no info,39.2,28.2,16.0,0.0,0.0
1942,11.0,21.0,14.0,1.0,0.0,0.0,8.0,TURKEY,"TURKEY:  KASTAMONU, KARGI",no info,40.3,34.6,17.0,0.0,0.0
1942,12.0,2.0,19.0,4.0,0.0,0.0,8.0,TURKEY,TURKEY:  CORUM,no info,40.6,35.0,4.0,0.0,0.0
1942,12.0,11.0,2.0,39.0,0.0,0.0,8.0,TURKEY,TURKEY,no info,40.8,35.1,0.0,0.0,0.0
1942,12.0,20.0,14.0,3.0,0.0,7.3,10.0,TURKEY,"TURKEY:  NIKSAR, ERBAA",no info,40.9,36.5,1000.0,0.0,0.0
1942,12.0,29.0,3.0,42.0,0.0,6.0,10.0,CROATIA,BALKANS NW:  CROATIA,no info,43.4,17.2,0.0,0.0,15.0
1943,1.0,20.0,15.0,32.0,0.0,6.6,0.0,TURKEY,TURKEY:  HENDEK,no info,40.8,30.5,285.0,0.0,0.0
