YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,Depth
579,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36,36,140,0,0,0,0,0
581,7,9,0,0,0,0,0,0,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,140,0,0,0,0,0
587,9,30,0,0,0,0,0,0,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36.25,36.1,140,60000,4,0,0,0
600,12,13,0,0,0,0,0,0,0,CHINA,CHINA:  SHAANXI PROVINCE,34.3,108.9,30,101,3,0,0,0
614,0,0,0,0,0,0,0,0,0,ITALY,ITALY,41,15,130,1000,3,0,0,0
634,0,0,0,0,0,0,0,0,0,IRAN,IRAN:  TABRIZ,38,46.2,140,0,0,0,0,0
649,9,12,0,0,0,5.5,0,5.5,0,CHINA,CHINA:  SHAANXI PROVINCE:  LINFEN,36.1,111.5,30,50,1,0,0,0
662,4,26,0,0,0,0,0,0,0,IRAN,"IRAN:  QUMIS:  SEMNAN,DAMGHAN",35.3,54,140,40000,4,0,0,0
664,9,12,0,0,0,6.3,0,0,0,SOUTH KOREA,SOUTH KOREA:  KYONGJU,35.5,129.1,30,0,0,0,0,0
678,0,0,0,0,0,0,0,0,0,IRAQ,IRAQ:  JAZIRAH:  BETWEEN TIGRIS AND THARTHAR RIVERS,35,43.5,140,0,0,0,0,0
684,11,29,0,0,0,8.4,0,8.4,0,JAPAN,JAPAN,32.5,134,30,0,3,0,0,0
688,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY:  IZMIR,38.4,27.2,140,2000,4,0,0,0
701,5,12,0,0,0,7,0,7,0,JAPAN,JAPAN:  KYOTO PREFECTURE,35.7,135.4,30,0,0,0,0,0
